"","X","stock.id","species","stock","region","sub.region","brood.yr","spawners","recruits","entry.yr","ln.rs","long","lat","loc.sst","our.region"
"488",488,NA,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1970,735024,355706,1972,-0.725798604781502,157.6,57.5,-0.960516423418127,"EBS"
"489",489,NA,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1971,529752,935799,1973,0.568991737320122,157.6,57.5,-0.394152470920503,"EBS"
"490",490,NA,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1972,79428,276167,1974,1.2461548042736,157.6,57.5,-0.717498546708348,"EBS"
"491",491,NA,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1973,38988,102304,1975,0.964694866402467,157.6,57.5,-0.509223878136883,"EBS"
"492",492,NA,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1974,61854,757903,1976,2.50577863977369,157.6,57.5,0.0195019996092162,"EBS"
"493",493,NA,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1975,429336,4125830,1977,2.26278266149253,157.6,57.5,0.313492233871178,"EBS"
"494",494,NA,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1976,356308,5801024,1978,2.78999420732645,157.6,57.5,0.812887022840394,"EBS"
"495",495,NA,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1977,201520,2853146,1979,2.65028889206238,157.6,57.5,0.152956037491284,"EBS"
"496",496,NA,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1978,82435,1194444,1980,2.67342598011335,157.6,57.5,0.49668976699463,"EBS"
"497",497,NA,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1979,1706904,6480873,1981,1.33417402029717,157.6,57.5,-0.138799063017711,"EBS"
"498",498,NA,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1980,3335284,8062903,1982,0.882715832205643,157.6,57.5,0.289507699260061,"EBS"
"499",499,NA,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1981,1327699,7976361,1983,1.79303492368041,157.6,57.5,0.563309422479218,"EBS"
"500",500,NA,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1982,1185551,2359875,1984,0.688401006112214,157.6,57.5,0.15866119856248,"EBS"
