"","stock","in.Dorner.et.al.","GOA","brood.yr","spawners","recruits","use","source","lat","long","notes","entry.yr","ln.rs","loc.sst","w.sst.1","w.sst.2","w.sst.3","our.region","npgo3","npgo2","npgo","pdo3","pdo2","pdo"
"214","Black","",1,1963,332536,698703,1,"",56.28,158.64,"",1965,0.742477634325712,-0.176566747132801,1.01180603647099,-0.0451070889430076,0.188244719578965,"GOA",-0.281587338,-0.71429631,-0.598890428,-0.772,-0.735,-0.936
"215","Black","",1,1964,137073,755726,1,"",56.28,158.64,"",1966,1.70716524599102,-0.647932408864352,-1.10202021435701,-0.721749625361585,-0.14389773808406,"GOA",-0.739444255333333,-0.809721169,-0.829702192,-0.693333333333333,-0.572,-0.534
"216","Black","",1,1965,307192,1948144,1,"",56.28,158.64,"",1967,1.84715944417388,-0.364077991053873,-0.341479036366164,-0.468519998279639,-0.679686736972094,"GOA",-0.729476624,-0.67936384,-0.789740146,-0.522,-0.516,-0.61
"217","Black","",1,1966,383545,1303566,1,"",56.28,158.64,"",1968,1.22340191079284,-0.253350792516428,-0.595560960193113,-0.328567910842301,-0.332871619350255,"GOA",-0.794507858666667,-0.796891715,-0.568987534,-0.638666666666667,-0.653,-0.422
"218","Black","",1,1967,328000,240647,1,"",56.28,158.64,"",1969,-0.309682478950004,-0.581231592714266,-0.0615748614914887,-0.720650243832338,-0.678953815952596,"GOA",-0.520570524,-0.496362019,-1.024795896,-0.175333333333333,-0.052,-0.884
"219","Black","",1,1968,342343,1210286,1,"",56.28,158.64,"",1970,1.26279881585069,-0.112980732106109,-1.37972562617319,-0.399161342806838,-0.286632515701722,"GOA",-0.329163485,0.0186527205,0.032071858,-0.507333333333333,-0.319,0.78
"220","Black","",1,1969,366589,477879,1,"",56.28,158.64,"",1971,0.265116232871397,-0.270870627106197,0.58140294055951,0.0404268549607092,-0.432957305417256,"GOA",-0.0861350606666667,-0.14523852,0.005233583,-0.814666666666667,-1.612,-1.418
"221","Black","",1,1970,536257,446681,1,"",56.28,158.64,"",1972,-0.182768830455855,-1.78310667317834,-0.500549230638092,-1.11453592528444,-0.549222970003122,"GOA",-0.226329339,-0.3421108,-0.295710623,-1.16333333333333,-1.036,-1.806
"222","Black","",1,1971,671668,1382632,1,"",56.28,158.64,"",1973,0.721980037220615,-1.46424767355287,-1.72852261993079,-1.39432245493778,-1.09639804683789,"GOA",-0.307388516333333,-0.313227463,-0.388510977,-1.11333333333333,-0.767,-0.266
"223","Black","",1,1972,326320,912950,1,"",56.28,158.64,"",1974,1.02880261957344,-0.828544948110297,-1.06012228994478,-1.00209965701431,-1.24424064465314,"GOA",-0.00227971533333334,0.1908359155,-0.237943949,-0.628,-0.809,-1.268
"224","Black","",1,1973,538462,1243252,1,"",56.28,158.64,"",1975,0.83676887856206,-0.659708361989121,-0.944077024083844,-0.638798529291638,-0.779239782842686,"GOA",0.546827370333333,0.93921303,0.61961578,-1.04866666666667,-0.939,-0.35
"225","Black","",1,1974,364603,630065,1,"",56.28,158.64,"",1976,0.547013898260626,-0.792131203883392,-0.333520034499432,-0.703522984838164,-0.783707664586724,"GOA",1.15011430666667,1.41536357,1.25881028,-0.229333333333333,-0.169,-1.528
