"","stock.id","species","even.odd","stock","full.stock","GOA","region","sub.region","brood.yr","spawners","recruits","use","entry.yr","ln.rs","long","lat","loc.sst","w.sst.1","w.sst.2","our.region","npgo2","npgo","pdo2","pdo"
"53",203,"Pink","O","Snohomish","Snohomish.O",0,"Inside WA","Inside WA",1963,275042,326297,1,1964,0.170884196286076,122.2072,48.02139,-0.706559759804952,1.12202829518128,0.866329647941501,"South",-0.007529911,0.583830606,-0.891,-0.846
"54",203,"Pink","O","Snohomish","Snohomish.O",0,"Inside WA","Inside WA",1965,185015,227062,1,1966,0.204786205069599,122.2072,48.02139,-0.0862264843720268,-0.736035075763483,-0.234831069270775,"South",-0.809721169,-0.829702192,-0.572,-0.534
"55",203,"Pink","O","Snohomish","Snohomish.O",0,"Inside WA","Inside WA",1967,95013,108427,1,1968,0.132063411137895,122.2072,48.02139,-0.296135039731987,-0.279599625946803,-0.236215430086526,"South",-0.796891715,-0.568987534,-0.653,-0.422
"56",203,"Pink","O","Snohomish","Snohomish.O",0,"Inside WA","Inside WA",1969,70009,192834,1,1970,1.01320590996325,122.2072,48.02139,-0.24106231854463,-1.39901587678386,-0.464663045326708,"South",0.0186527205,0.032071858,-0.319,0.78
"57",203,"Pink","O","Snohomish","Snohomish.O",0,"Inside WA","Inside WA",1971,125000,207801,1,1972,0.508267153670785,122.2072,48.02139,-0.833594621371464,-1.15547442522778,-1.59162935102058,"South",-0.3421108,-0.295710623,-1.036,-1.806
"58",203,"Pink","O","Snohomish","Snohomish.O",0,"Inside WA","Inside WA",1973,110000,126342,1,1974,0.138512149852033,122.2072,48.02139,-1.11317514742069,-0.845574250311942,-1.17102599650106,"South",0.1908359155,-0.237943949,-0.809,-1.268
"59",203,"Pink","O","Snohomish","Snohomish.O",0,"Inside WA","Inside WA",1975,65751,236157,1,1976,1.2786219580117,122.2072,48.02139,-1.12678874609086,-0.247372008291975,-0.729622270861904,"South",1.41536357,1.25881028,-0.169,-1.528
"60",203,"Pink","O","Snohomish","Snohomish.O",0,"Inside WA","Inside WA",1977,125990,397190,1,1978,1.14821221689792,122.2072,48.02139,0.533324775848834,1.20162241740512,0.677539431328524,"South",0.262731659,1.07569398,-0.039,0.344
"61",203,"Pink","O","Snohomish","Snohomish.O",0,"Inside WA","Inside WA",1979,180724,201209,1,1980,0.10737316323322,122.2072,48.02139,-0.274533681293696,-0.779635750242234,-0.344919434401912,"South",-0.823966005,-1.161953614,0.567,0.472
"62",203,"Pink","O","Snohomish","Snohomish.O",0,"Inside WA","Inside WA",1981,90096,264327,1,1982,1.07631120452053,122.2072,48.02139,-0.737269079454531,0.651887438912999,0.177651703832671,"South",-0.000825666000000003,-0.08333229,0.602,0.44
