"","region","stock","brood.yr","spawners","recruits","entry.yr","long","lat","loc.sst","w.sst.3","w.sst.2","w.sst.1"
"120","GOA","Black",1989,384001,1682141,1991,158.64,56.28,-0.00654881555060297,-0.111258574832552,-0.0657616590892384,-0.529477780727899
"121","GOA","Black",1990,434550,1485849,1992,158.64,56.28,-0.0678230386119572,-0.0973468510903743,0.118718613728388,0.397954462549422
"122","GOA","Black",1991,662660,1571079,1993,158.64,56.28,0.704165851536456,0.407032561034303,0.411571610276743,-0.160517235092646
"123","GOA","Black",1992,360681,959184,1994,158.64,56.28,0.0585964242634133,0.0420860109544805,0.143387633978044,0.983660455646132
"124","GOA","Black",1993,364261,941762,1995,158.64,56.28,0.136799747860379,0.00255848322096386,-0.48799250299162,-0.696885187690045
"125","GOA","Black",1994,769465,2041293,1996,158.64,56.28,0.147556038563221,-0.498118445513888,-0.39873507442581,-0.279099818293196
"126","GOA","Black",1995,366496,2061132,1997,158.64,56.28,0.818521198753451,0.121897758694646,0.322396547188567,-0.518370330558423
"127","GOA","Black",1996,464748,1646125,1998,158.64,56.28,0.408753183918014,0.352503694805338,0.787940707487218,1.16316342493556
"128","GOA","Black",1997,396668,781890,1999,158.64,56.28,-0.537209545514101,0.278266026802423,-0.164182672264143,0.412717990038879
"129","GOA","Black",1998,410659,875212,2000,158.64,56.28,0.210123292423041,0.0073670218434092,-0.195308462254326,-0.741083334567166
"130","GOA","Black",1999,457424,995315,2001,158.64,56.28,0.216534698492808,-0.365838555953068,-0.178216166646019,0.350466410058514
"131","GOA","Black",2000,536139,1581986,2002,158.64,56.28,0.908540244230154,0.509212491274918,0.588585531883119,-0.706898743350551
"132","GOA","Black",2001,744015,875274,2003,158.64,56.28,0.820986287760177,0.440462545865374,1.01414319047334,1.88406980711679
"133","GOA","Black",2002,384088,380224,2004,158.64,56.28,0.76507357746778,0.777900892504212,0.224816435197923,0.144216573829882
"134","GOA","Black",2003,350004,691350,2005,158.64,56.28,0.614885344016512,0.143713833249153,0.143462462958788,0.305416296565964
"135","GOA","Black",2004,363800,919792,2006,158.64,56.28,-0.234616097015601,-0.195470141037169,-0.445913359838735,-0.0184913706483889
"136","GOA","Black",2005,355091,1505934,2007,158.64,56.28,-0.53472891136806,-0.6263013359392,-0.930206318584605,-0.873335349029081
"137","GOA","Black",2006,366497,3239005,2008,158.64,56.28,-0.909070949823825,-0.991016100991152,-1.04985647697219,-0.987077288140129
"138","South","Bowron",1960,3506,17733,1962,123.06,49.12,0.824703255302596,0.946691821464686,0.925698639554613,0.177286810442601
"139","South","Bowron",1961,3675,28148,1963,123.06,49.12,0.90612784207382,0.816421339003391,1.13598860328379,1.67411046866662
"140","South","Bowron",1962,3219,21327,1964,123.06,49.12,-0.155108240250839,0.547594096096729,-0.0156640901882197,0.597866737900947
"141","South","Bowron",1963,11467,214316,1965,123.06,49.12,-0.306126726872671,0.0358179068597133,-0.245206508660904,-0.629194918277386
"142","South","Bowron",1964,690,27507,1966,123.06,49.12,-0.422818247472393,-0.315634902868495,-0.15885489516405,0.138781900955579
